"STATE","FY2017","FY2016","FY2015","FY2014","FY2013","","","","","","","",""
"Alabama","48868.0","49781.0","49497.0","48413.0","47949.0","","","","","","","",""
"Alaska","68138.0","67443.0","66755.0","66739.0","65468.0","","","","","","","",""
"Arizona","47403.0","45477.0","45406.0","51109.0","49885.0","","","","","","","",""
"Arkansas","48616.0","48220.0","48017.0","46950.0","46632.0","","","","","","","",""
"California","78711.0","72842.0","72535.0","70126.0","69324.0","","","","","","","",""
"Colorado","46506.0","50039.0","49828.0","50651.0","49844.0","","","","","","","",""
"Connecticut","72561.0","72013.0","71709.0","70584.0","69766.0","","","","","","","",""
"Delaware","60214.0","59085.0","59195.0","60571.0","59679.0","","","","","","","",""
"District of Columbia","76131.0","75810.0","75810.0","75810.0","70906.0","","","","","","","",""
"Florida","49407.0","49199.0","48992.0","46691.0","46944.0","","","","","","","",""
"Georgia","54602.0","54190.0","53382.0","52924.0","52880.0","","","","","","","",""
"Hawaii","57674.0","57431.0","57189.0","56291.0","54300.0","","","","","","","",""
"Idaho","47504.0","45409.0","45218.0","50945.0","49734.0","","","","","","","",""
"Illinois","61602.0","61342.0","61083.0","60124.0","59113.0","","","","","","","",""
"Indiana","50554.0","50715.0","50502.0","50644.0","51456.0","","","","","","","",""
"Iowa","55443.0","54416.0","52862.0","51662.0","51528.0","","","","","","","",""
"Kansas","47984.0","49197.0","48990.0","48221.0","47464.0","","","","","","","",""
"Kentucky","52339.0","51666.0","51093.0","50705.0","50326.0","","","","","","","",""
"Louisiana","50000.0","46733.0","47886.0","52259.0","51381.0","","","","","","","",""
"Maine","51077.0","50229.0","50017.0","49232.0","48119.0","","","","","","","",""
"Maryland","66961.0","66482.0","64845.0","64868.0","65265.0","","","","","","","",""
"Massachusetts","77804.0","76981.0","74805.0","73736.0","73129.0","","","","","","","",""
"Michigan","62200.0","63878.0","62778.0","61866.0","61560.0","","","","","","","",""
"Minnesota","57346.0","56910.0","56670.0","57230.0","56268.0","","","","","","","",""
"Mississippi","42925.0","42744.0","42564.0","42187.0","41994.0","","","","","","","",""
"Missouri","48293.0","47849.0","47394.0","48329.0","47517.0","","","","","","","",""
"Montana","51422.0","51215.0","50999.0","49893.0","49999.0","","","","","","","",""
"Nebraska","52338.0","51364.0","50318.0","49545.0","48931.0","","","","","","","",""
"Nevada","57376.0","56943.0","56703.0","57391.0","55957.0","","","","","","","",""
"New Hampshire","57253.0","58802.0","58554.0","57057.0","55599.0","","","","","","","",""
"New Jersey","69623.0","69330.0","69038.0","70060.0","68797.0","","","","","","","",""
"New Mexico","47500.0","47163.0","46003.0","45727.0","46573.0","","","","","","","",""
"New York","79637.0","77957.0","77628.0","76566.0","75279.0","","","","","","","",""
"North Carolina","49837.0","47985.0","47783.0","45355.0","45947.0","","","","","","","",""
"North Dakota","51618.0","50237.0","50025.0","48666.0","47344.0","","","","","","","",""
"Ohio","57000.0","56410.0","56172.0","57270.0","58092.0","","","","","","","",""
"Oklahoma","45245.0","44921.0","44628.0","44277.0","44128.0","","","","","","","",""
"Oregon","61631.0","60064.0","59811.0","58597.0","58758.0","","","","","","","",""
"Pennsylvania","65863.0","64991.0","64717.0","64072.0","63521.0","","","","","","","",""
"Rhode Island","66477.0","66197.0","65918.0","64696.0","63474.0","","","","","","","",""
"South Carolina","48598.0","48542.0","48709.0","48425.0","47924.0","","","","","","","",""
"South Dakota","42668.0","42025.0","40661.0","40023.0","39580.0","","","","","","","",""
"Tennessee","48456.0","48708.0","48503.0","48049.0","48289.0","","","","","","","",""
"Texas","52575.0","51758.0","50576.0","49270.0","48110.0","","","","","","","",""
"Utah","47244.0","46042.0","45848.0","50659.0","49393.0","","","","","","","",""
"Vermont","60187.0","58901.0","57642.0","53656.0","52526.0","","","","","","","",""
"Virginia","51049.0","50834.0","50620.0","49233.0","49869.0","","","","","","","",""
"Washington","54147.0","52539.0","53714.0","52236.0","53571.0","","","","","","","",""
"West Virginia","45701.0","45977.0","45647.0","45583.0","46405.0","","","","","","","",""
"Wisconsin","54998.0","54766.0","54535.0","54717.0","55171.0","","","","","","","",""
"Wyoming","58650.0","57761.0","57715.0","57910.0","57920.0","","","","","","","",""
